id,name,date,text,comments,retweet_count
1441544336131309572,Calvin Lee,2021-09-24 23:25:26+00:00,"🏞Free Entrance to National Parks. Saturday, September 25th!
#free #nationalParks  https://t.co/oJoKQmW7TR",[],0
1441248035586002951,Calvin Lee,2021-09-24 03:48:03+00:00,🍣 Yum @kurasushi_usa CONVEYOR BELT SUSHI! https://t.co/yF1HVGw7Q7,[],0
1440525512988770312,Calvin Lee,2021-09-22 03:57:00+00:00,"Happy Mid-Autumn and Mooncake Festival! 🥮
#mooncakefestival2021 https://t.co/jrm1Ej88Fm",[],0
1440184499631910922,Calvin Lee,2021-09-21 05:21:56+00:00,"🐓 🐟
Yum! Rosty Peruvian Noms! 
Seafood Saltado
Beef, chicken, shrimp Saltado
Lomo Saltado with Pesto Pasta
Fish Cev… https://t.co/1qn2ltaRrT",[],0
1443985706011922434,Martin Sargent,2021-10-01 17:06:34+00:00,"@LucidChili Where and why did you watch that? I was tremendously impressed by Ebert’s quick wit, tech savvy, and ea… https://t.co/4F9d39FFkQ",[],0
1437986314452758528,Martin Sargent,2021-09-15 03:47:08+00:00,Know why Newsom wasn’t recalled? My tweet.,[],3
1437943070754893824,Martin Sargent,2021-09-15 00:55:18+00:00,"@RJTZ Ha! The tweet, in fact, was going to be, ""BLINGO VOTE NO!"" Probably should have been.",[],0
1437942112499077123,Martin Sargent,2021-09-15 00:51:29+00:00,"@samjacobgarza Thank you, Moses. Fun is right; ridiculously so.",[],0
1437919645437022212,Martin Sargent,2021-09-14 23:22:13+00:00,@FTLJohnson I was subtly suggesting you vote NO by writing NO three times in all caps.,[],0
1437821461369012224,Martin Sargent,2021-09-14 16:52:04+00:00,"Howdy, pardners. Found an old bit from the last CA recall, when candidates were more ridiculous than dangerous. If… https://t.co/rQmvQAucqR",[],2
1428405306069950464,Martin Sargent,2021-08-19 17:15:38+00:00,"@eileentv You’ve already given 7+ hours to the show, so what’s 3 minutes more? https://t.co/Z9qISnNO3m",[],0
1428100686365949952,Martin Sargent,2021-08-18 21:05:11+00:00,@from_franklin What's that man saying? What's he looking at? Where's Franklin?,[],0
1421177165962350592,Martin Sargent,2021-07-30 18:33:35+00:00,"@molzy Why, sure they do! IDEA: Do what I do and give “good morning” a fun little twirl! 💃 By thinking “morning goo… https://t.co/TrDCuL8VWW",[],0
1409988686654054408,Martin Sargent,2021-06-29 21:34:33+00:00,"@Veronica Buffalo, NY
https://t.co/bcUubnW5om",[],0
1445489737511227394,Amy Vernon 💉💙 🏳️‍🌈,2021-10-05 20:43:03+00:00,@Alster1Rob https://t.co/mQ1TzHM668,[],1
1445482723502538755,Amy Vernon 💉💙 🏳️‍🌈,2021-10-05 20:15:11+00:00,THIS STORY https://t.co/loaYAIziV5,[],1
1445482140985008145,Amy Vernon 💉💙 🏳️‍🌈,2021-10-05 20:12:52+00:00,@LegallyLove 💕,[],1
1445465174090022921,Amy Vernon 💉💙 🏳️‍🌈,2021-10-05 19:05:27+00:00,"@James_daSilva I don't know that I'd argue with you on that. There are definitely things that make IV ""better"", but… https://t.co/JcMTxW4GGu",[],1
1445464884573978632,Amy Vernon 💉💙 🏳️‍🌈,2021-10-05 19:04:18+00:00,@ratchford_chris THANK YOU.,[],1
1445464820191399939,Amy Vernon 💉💙 🏳️‍🌈,2021-10-05 19:04:03+00:00,@CarrieHill Ooooh. I love Houses of the Holy. I was just thinking of 3&amp;4 because today's the anniversary of 3's rel… https://t.co/GI1yUyO6Y4,[],1
1445464617640083471,Amy Vernon 💉💙 🏳️‍🌈,2021-10-05 19:03:14+00:00,"@thatclarafied I used to be the latter, but honestly? Overplayed. Immigrant Song with a bullet.",[],1
1445457594978488321,Amy Vernon 💉💙 🏳️‍🌈,2021-10-05 18:35:20+00:00,@Creeturous THE FUCK,[],0
1445457492465442817,Amy Vernon 💉💙 🏳️‍🌈,2021-10-05 18:34:56+00:00,@Creeturous https://t.co/MtivAe8Ewk,[],0
1445456468170338307,Amy Vernon 💉💙 🏳️‍🌈,2021-10-05 18:30:51+00:00,Controversial opinion: Led Zeppelin III is head and shoulders above IV.,[],1
1430568008527843333,Kaiju Capital Management,2021-08-25 16:29:26+00:00,I’m excited to join AI &amp; Data Science in Trading September 2021 with 2000+ AI &amp; ML leaders. You can sign up and joi… https://t.co/ai3NTkx3X0,[],0
1418221119904141312,Kaiju Capital Management,2021-07-22 14:47:18+00:00,"Meet our lead backend developer, Albi Ginjo, in this interview by @DanielBukszpan :
https://t.co/butIPRqriD",[],0
1407445366589509639,Kaiju Capital Management,2021-06-22 21:08:19+00:00,"As we roll out our Insights section, we'll be examining many issues tied to working toward a more equitable and jus… https://t.co/J81t3gkECI",[],2
1405998071201386500,Kaiju Capital Management,2021-06-18 21:17:17+00:00,"RT @rezo_zero: How to create connections between the logo, custom #3D creations and animated navigation for a unique user experience? Chall…",[],3
1405527581617659908,Kaiju Capital Management,2021-06-17 14:07:43+00:00,RT @rezo_zero: New prod: @KaijuCap represents a modern investment philosophy in the fund management field. The website creative approach is…,[],5
1404459688742297600,Kaiju Capital Management,2021-06-14 15:24:18+00:00,"@mckra1g Thank you, Molly!",[],0
1404439816423546881,Kaiju Capital Management,2021-06-14 14:05:20+00:00,"It's alive! 

Visit https://t.co/PaKi8VOUhL to learn all about Kaiju Capital Management on our brand-new website.",[],0
,,,,,
,,,,,
,,,,,
1445418514148364293,Northwestern Medill,2021-10-05 16:00:03+00:00,"Join us tonight (5:30PM CT) for Agency v. Client--a discussion with industry leaders from @Merkle, @havas,… https://t.co/cBt9eP5CHK",[],0
1445121409861226499,Northwestern Medill,2021-10-04 20:19:27+00:00,RT @thedailynu: Angélica Casas won Medill's Cecilia Vaisman Award for her work covering Latine communities in the U.S. and Latin America. h…,[],2
1444014261630640131,Northwestern Medill,2021-10-01 19:00:03+00:00,Congrats to @JuliePace (BSJ04) who is one of the seven inductees to the Medill Centennial Hall of Achievement class… https://t.co/s3tp3yiN0q,[],0
1443606571053944841,Northwestern Medill,2021-09-30 16:00:02+00:00,"Join us via Zoom tonight (5:30 p.m. CT) as Medill and @NAHJ present @AngelicaMCasas, of @BBCWorld, with the 2021 Ce… https://t.co/ANdiNduROk",[],2
1443240404258787333,Northwestern Medill,2021-09-29 15:45:01+00:00,"Join us on 10/5 (5:30PM CT) for Agency v. Client--a discussion with industry leaders from @Merkle, @havas,… https://t.co/ttbHTN5dSs",[],0
1441450955820707843,Northwestern Medill,2021-09-24 17:14:23+00:00,"RT @StormLakeMovie: TONIGHT: @Beth_Levison, Jerry Risius, @cullen_art and Sheila Solomon at @filmcenter. 

More info 👉 https://t.co/96uLIhc…",[],3
1441448608616927233,Northwestern Medill,2021-09-24 17:05:03+00:00,Congrats to @SheinelleJones (BSJ00) who is one of the seven inductees to the Medill Centennial Hall of Achievement… https://t.co/FbaFsyCjhu,[],1
1441409603519008773,Northwestern Medill,2021-09-24 14:30:04+00:00,"@StormLakeMovie, a documentary about the struggles of local news, will screen in Chicago this weekend. Senior Assoc… https://t.co/8K1QlLjfmD",[],2
1441130248842539011,Northwestern Medill,2021-09-23 20:00:00+00:00,"Join us via Zoom on Thursday, Sept. 30 as Medill and @NAHJ present @AngelicaMCasas, of @BBCWorld, with the 2021 Cec… https://t.co/Xoe75Ucha7",[],2
1440791073287065601,Northwestern Medill,2021-09-22 21:32:15+00:00,RT @JessicaVillag: Happy first week of classes! I’m teaching two undergrad classes @MedillSchool this quarter and have some fun stuff in ~t…,[],2
1445362152316022788,Scott Stratten,2021-10-05 12:16:05+00:00,@jpwooster Renting a house on borrowed land :),[],0
1444759768430694407,Scott Stratten,2021-10-03 20:22:25+00:00,@RobCairns Doing well right now 😄,[],0
1444758915804188673,Scott Stratten,2021-10-03 20:19:02+00:00,JAYS!!!!!!,[],0
1444277129567514625,Scott Stratten,2021-10-02 12:24:35+00:00,@JaxSargette @cspotweet https://t.co/AUaDP4cLUE,[],0
1443222698696581122,Scott Stratten,2021-09-29 14:34:39+00:00,"RT @WilliamCMurray: New episode of The Service Center! A fantastic talk w/ Scott Stratten (@unmarketing) about service, leadership, &amp; treat…",[],3
1442151985029922827,Scott Stratten,2021-09-26 15:40:01+00:00,@POSMarketer @GetSprunk https://t.co/sy0b5ElD2G,[],0
1441749239130845185,Scott Stratten,2021-09-25 12:59:39+00:00,"RT @Ballislife: The greatest dunk ever happened 21 YEARS AGO today! 
https://t.co/9kq95ycM0e",[],6587
