id,date,text,retweet_count
Kim Goodwin,2021-09-22 18:38:15+00:00,Delivery company: Do we need to take a ferry or boat to reach you? Are there bridge weight restrictions or vehicle… https://t.co/ZmrQBS2eIk,0
Kim Goodwin,2021-09-22 12:44:54+00:00,@anne_staude Every product team thinks they’re alarm matters…they don’t think about the 87 other beeping things,0
Kim Goodwin,2021-09-22 12:43:52+00:00,"@SteveCusumano But how would they spell it wrong, then?",0
Kim Goodwin,2021-09-22 12:43:21+00:00,@jfdonohoe That’s….quite a service design,0
Kim Goodwin,2021-09-22 12:42:33+00:00,@Bendre There are examples everywhere!,0
Kim Goodwin,2021-09-22 12:41:00+00:00,@jackexmachina I’ve worked on some of those. They’re really all about billing.,0
Kim Goodwin,2021-09-22 12:39:49+00:00,@BrunoFigueiredo Labels FTW,0
Kim Goodwin,2021-09-22 03:03:30+00:00,@cwhooten @sagotsky @amynewell Is this example who I think it is?,0
Kim Goodwin,2021-09-22 00:13:28+00:00,@EmilyTav All too common,0
Kim Goodwin,2021-09-22 00:07:10+00:00,@EmilyTav Oh no!,0
Kim Goodwin,2021-09-21 22:54:13+00:00,@cydharrell To relax &amp; enjoy the sunshine?,0
Kim Goodwin,2021-09-21 22:48:22+00:00,@jydesign That is believable as some sort of healthcare device,0
Kim Goodwin,2021-09-21 22:41:47+00:00,@melaniekahl Oh there are always nursing hacks! The things that should have been designed in to begin with.,0
Kim Goodwin,2021-09-21 22:31:32+00:00,"@tigerlily7a Elevators should not need instruction sheets, but here we are",0
Kim Goodwin,2021-09-21 22:30:24+00:00,@StacyHolmstedt Not to mention complete lack of accessibility for differences in color perception,0
Kim Goodwin,2021-09-21 22:29:19+00:00,@jackmoffett Exactly,0
Kim Goodwin,2021-09-21 21:23:26+00:00,Do normal people look at healthcare settings &amp; itch to redesign them? https://t.co/XnDbHtLRBN,36
Kim Goodwin,2021-09-15 17:33:37+00:00,@cydharrell Unicode also needs a LOL/sob emoji,0
Kim Goodwin,2021-09-15 17:33:06+00:00,@pboersma @brownorama Option 4: hiring,0
Kim Goodwin,2021-09-14 14:32:49+00:00,@jitendramr @vanschneider Clever…though the assumption of a male engineer seems unnecessary 😉,0
Kim Goodwin,2021-09-13 17:12:36+00:00,Spent the last week in a pair of 1960s De Havilland Beaver seaplanes. They’re pragmatic little workhorses &amp; I could… https://t.co/UrbBeRBZwk,3
Kim Goodwin,2021-09-01 15:21:23+00:00,Please stay 6 feet from other airline passengers until we seat you 2 inches from them for next few hours.,5
Kim Goodwin,2021-08-31 17:10:28+00:00,Good communication advice for anyone leading a team or project https://t.co/To36muahL4,4
Kim Goodwin,2021-08-31 14:21:06+00:00,"Also check out other tracks on research &amp; strategy, ethics, and AI by @thebrainlady @axbom @chrisnoessel",0
Kim Goodwin,2021-08-31 14:12:30+00:00,@ddt @ambitiongrp His photo is pretty classic!,0
Draplin Design Co.,2021-09-25 04:25:27+00:00,DDC12000: For Erick Darrow.,0
Draplin Design Co.,2021-09-14 21:17:14+00:00,DDC11999: For Norm Macdonald.,0
Draplin Design Co.,2021-09-06 22:09:20+00:00,DDC11998: For Michael K. Williams.,1
Draplin Design Co.,2021-09-05 20:02:03+00:00,DDC11997: For Willard Scott.,1
Draplin Design Co.,2021-08-29 19:08:50+00:00,DDC11996: For Ed Asner.,0
Draplin Design Co.,2021-08-29 17:31:49+00:00,DDC11995: For Lee “Scratch” Perry.,3
Draplin Design Co.,2021-08-24 18:34:12+00:00,DDC11994: For Charlie Watts.,0
Draplin Design Co.,2021-08-21 14:31:04+00:00,DDC11993: For Tom T. Hall. (He loved onions.),1
Draplin Design Co.,2021-08-20 13:42:17+00:00,DDC11992: For Chuck Close.,2
Draplin Design Co.,2021-08-19 15:39:08+00:00,DDC11991: My Dad’s biggest claim to fame was when “he took a piss next to Bill Freehan” at a Glen Campbell show at Cobo Arena. Go Tigers.,0
Draplin Design Co.,2021-08-19 15:27:02+00:00,DDC11990: For Bill Freehan.,0
Draplin Design Co.,2021-08-03 06:24:16+00:00,DDC11989: RT: @pennyack: How come your website isn’t mobile friendly? &gt; It was built in 1998. And it’s a real turd. New site coming soon!,0
Draplin Design Co.,2021-07-31 06:57:23+00:00,"DDC11988: THIS IS COOL, TOO: Dinosaur Jr, 1991. https://t.co/DkEMXCREuF",1
Draplin Design Co.,2021-07-30 08:47:09+00:00,"DDC11987: THIS IS COOL: Polvo, 1992. https://t.co/MDJ67Rbv0M",0
Draplin Design Co.,2021-07-30 08:01:46+00:00,DDC11986: For Senator Carl Levin.,0
Draplin Design Co.,2021-07-28 19:53:42+00:00,DDC11985: For Dusty Hill.,4
